Site Code,Lake,Depth,Date,Julian Day,Active chl a (ug/L),Pprod (mg available C/m3/d)
100,Toolik,0,02-Jul-75,75183,.,14.05
100,Toolik,1,02-Jul-75,75183,.,12.45
100,Toolik,3,02-Jul-75,75183,.,30.1
100,Toolik,5,02-Jul-75,75183,.,9.5
100,Toolik,8,02-Jul-75,75183,.,9.1
100,Toolik,12,02-Jul-75,75183,.,15.33
100,Toolik,16,02-Jul-75,75183,.,1.41
100,Toolik,0,13-Jul-75,75194,.,2.05
100,Toolik,1,13-Jul-75,75194,.,1.98
100,Toolik,3,13-Jul-75,75194,.,2.48
100,Toolik,5,13-Jul-75,75194,.,.
100,Toolik,8,13-Jul-75,75194,.,3.11
100,Toolik,12,13-Jul-75,75194,.,2.55
100,Toolik,16,13-Jul-75,75194,.,1.07
100,Toolik,0,20-Jul-75,75201,.,1.84
100,Toolik,1,20-Jul-75,75201,.,3.97
100,Toolik,3,20-Jul-75,75201,.,2.91
100,Toolik,5,20-Jul-75,75201,.,1.21
100,Toolik,8,20-Jul-75,75201,.,1.89
100,Toolik,12,20-Jul-75,75201,.,.
100,Toolik,16,20-Jul-75,75201,.,.
100,Toolik,0,25-Jul-75,75206,.,14.41
100,Toolik,1,25-Jul-75,75206,.,15.51
100,Toolik,3,25-Jul-75,75206,.,8.53
100,Toolik,5,25-Jul-75,75206,.,6.69
100,Toolik,8,25-Jul-75,75206,.,7.03
100,Toolik,12,25-Jul-75,75206,.,2.35
100,Toolik,16,25-Jul-75,75206,.,0.87
100,Toolik,0,09-Aug-75,75221,.,23.35
100,Toolik,1,09-Aug-75,75221,.,36.46
100,Toolik,3,09-Aug-75,75221,.,22.09
100,Toolik,5,09-Aug-75,75221,.,17.78
100,Toolik,8,09-Aug-75,75221,.,.
100,Toolik,12,09-Aug-75,75221,.,1.91
100,Toolik,16,09-Aug-75,75221,.,0
100,Toolik,0,21-Aug-75,75233,.,11.77
100,Toolik,1,21-Aug-75,75233,.,9.4
100,Toolik,3,21-Aug-75,75233,.,8.51
100,Toolik,5,21-Aug-75,75233,.,10.77
100,Toolik,8,21-Aug-75,75233,.,7.095
100,Toolik,12,21-Aug-75,75233,.,3.42
100,Toolik,16,21-Aug-75,75233,.,0
100,Toolik,0,22-Jun-76,76174,.,26.12
100,Toolik,1,22-Jun-76,76174,.,18.21
100,Toolik,3,22-Jun-76,76174,.,18.48
100,Toolik,5,22-Jun-76,76174,.,5.39
100,Toolik,8,22-Jun-76,76174,.,1.66
100,Toolik,12,22-Jun-76,76174,.,.
100,Toolik,16,22-Jun-76,76174,.,.
100,Toolik,0,26-Jun-76,76178,.,9.015
100,Toolik,1,26-Jun-76,76178,.,20.397
100,Toolik,3,26-Jun-76,76178,.,10.76
100,Toolik,5,26-Jun-76,76178,.,3.94
100,Toolik,8,26-Jun-76,76178,.,2.0675
100,Toolik,12,26-Jun-76,76178,.,0.195
100,Toolik,16,26-Jun-76,76178,.,0.03
100,Toolik,0,02-Jul-76,76184,.,63.58
100,Toolik,1,02-Jul-76,76184,.,51.33
100,Toolik,3,02-Jul-76,76184,.,38.46
100,Toolik,5,02-Jul-76,76184,.,10.09
100,Toolik,8,02-Jul-76,76184,.,1.22
100,Toolik,12,02-Jul-76,76184,.,0.32
100,Toolik,16,02-Jul-76,76184,.,0.038
100,Toolik,0,03-Jul-76,76185,.,8.71
100,Toolik,1,03-Jul-76,76185,.,15.13
100,Toolik,3,03-Jul-76,76185,.,9.26
100,Toolik,5,03-Jul-76,76185,.,4.47
100,Toolik,8,03-Jul-76,76185,.,1.03
100,Toolik,12,03-Jul-76,76185,.,0.225
100,Toolik,16,03-Jul-76,76185,.,0.314
100,Toolik,0,09-Jul-76,76191,.,11.15
100,Toolik,1,09-Jul-76,76191,.,8.72
100,Toolik,3,09-Jul-76,76191,.,8.5
100,Toolik,5,09-Jul-76,76191,.,5.34
100,Toolik,8,09-Jul-76,76191,.,1.99
100,Toolik,12,09-Jul-76,76191,.,.
100,Toolik,16,09-Jul-76,76191,.,0.387
100,Toolik,0,18-Jul-76,76200,.,15.31
100,Toolik,1,18-Jul-76,76200,.,9.36
100,Toolik,3,18-Jul-76,76200,.,11.38
100,Toolik,5,18-Jul-76,76200,.,2.78
