Date,Site,Lake,Fish I.D.,Species,Total length (mm),FL (mm),SL (mm),Mass (g),Sampling,Otos,Stomach,Sex,Mature,Gonads,P1,Age,Total otolith radius,DO1..DO52,Fin clip,Locality,Scales,Comments
15-Jul-1995,160,Campsite Lake,.,CHAR,444,.,.,700,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,CHAR,612,.,.,2150,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,672,.,.,2100,.,.,.,.,.,.,.,.,.,.,.,.,.,NO TAG
15-Jul-1995,160,Campsite Lake,.,L.Trout,549,.,.,1450,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,486,.,.,1500,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,457,.,.,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,457,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,473,.,.,875,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,463,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,465,.,.,950,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,458,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,462,.,.,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,480,.,.,1050,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,460,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,.,L.Trout,462,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15-Jul-1995,160,Campsite Lake,LT12,L.Trout,485,.,.,1100,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,13,L.Trout,456,415,.,860,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,14,L.Trout,436,403,.,680,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,15,L.Trout,478,436,.,940,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,16,L.Trout,466,424,.,880,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,17,L.Trout,461,422,.,860,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,18,L.Trout,398,360,.,530,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,19,L.Trout,380,346,.,460,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,20,L.Trout,491,448,.,1050,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,21,L.Trout,460,417,.,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18-Jul-1995,160,Campsite Lake,22,L.Trout,460,420,.,890,.,.,.,.,.,.,.,.,.,.,.,.,.,.
06-Aug-1995,160,Campsite Lake,.,L.Trout,475,429,.,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,adipose taken
06-Aug-1995,160,Campsite Lake,.,L.Trout,507,465,.,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,adipose taken
06-Aug-1995,160,Campsite Lake,.,L.Trout,480,443,.,950,.,.,.,.,.,.,.,.,.,.,.,.,.,adipose taken
