Year,Month,Date,LTER_Site,Station,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm,Daily_windsp_mean_msec,FLAG_Daily_windsp_mean_msec,Daily_Windspeed_AbsMax_m_s,Daily_globalrad_total_jcm2,FLAG_Daily_globalrad_total_mjm2,Moss,Soil20cm,Comments
1988,6,19880601,ARC,TLKMAIN,8.4,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880602,ARC,TLKMAIN,6.0,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880603,ARC,TLKMAIN,5.8,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880604,ARC,TLKMAIN,1.8,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880605,ARC,TLKMAIN,6.8,E,#N/A,,#N/A,,2.5,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880606,ARC,TLKMAIN,5.2,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880607,ARC,TLKMAIN,2.2,E,#N/A,,#N/A,,7.6,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880608,ARC,TLKMAIN,9.4,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880609,ARC,TLKMAIN,13.1,E,#N/A,,#N/A,,0.0,E,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880610,ARC,TLKMAIN,17.7,E,20.0,E,14.3,E,0.0,,3.9,,6.2,509,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880611,ARC,TLKMAIN,13.9,E,19.8,E,9.0,E,11.4,,2.2,,7.0,1592,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax and Atmin 1m estimated from Imnavait.
1988,6,19880612,ARC,TLKMAIN,9.2,E,9.4,E,5.1,E,1.0,,2.4,,4.3,685,,#N/A,#N/A,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880613,ARC,TLKMAIN,9.5,E,13.2,E,5.5,E,1.0,,2.2,,4.5,2699,,#N/A,#N/A,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880614,ARC,TLKMAIN,13.3,E,#N/A,E,5.4,E,0.0,,#N/A,,#N/A,#N/A,,#N/A,#N/A,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter. Atmax 1m estimated from Imnavait.
1988,6,19880615,ARC,TLKMAIN,12.2,E,14.5,E,4.7,E,0.0,,#N/A,,#N/A,#N/A,,7,2,Air temp  1 & 5 meter estimated from regression with Imnavat 1 & 2 meter.
1988,6,19880616,ARC,TLKMAIN,4.7,E,8.3,E,0.7,E,0.0,,2.6,,4.0,2730,,6,2,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880617,ARC,TLKMAIN,8.6,E,14.9,E,1.3,E,0.0,,2.3,,4.2,2555,,6,2,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880618,ARC,TLKMAIN,11.8,E,16.4,E,5.0,E,2.3,,3.1,,5.4,2207,,7,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880619,ARC,TLKMAIN,11.7,E,12.8,E,8.5,E,11.4,,3.0,,4.9,1625,,7,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880620,ARC,TLKMAIN,8.5,E,12.0,E,6.0,E,0.3,,2.8,,4.8,1070,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880621,ARC,TLKMAIN,10.7,E,16.1,E,5.3,E,0.3,,3.1,,7.5,2066,,7,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880622,ARC,TLKMAIN,6.6,E,10.2,E,3.2,E,4.8,,3.6,,7.3,998,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880623,ARC,TLKMAIN,6.1,E,11.2,E,2.3,E,0.8,,3.8,,7.4,1984,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880624,ARC,TLKMAIN,7.7,E,13.0,E,2.2,E,1.8,,2.6,,5.2,1976,,6,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880625,ARC,TLKMAIN,13.4,E,19.0,E,6.1,E,0.0,,3.9,,8.0,2887,,8,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880626,ARC,TLKMAIN,12.0,E,16.7,E,8.2,E,0.5,,3.6,,7.4,2640,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
